time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,target.x,target.y,target.z,target.vx,target.vy,target.vz,target.ax,target.ay,target.az,target.roll,target.pitch,target.yaw,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
1.08,-0.020074544474482536,-0.028506522998213768,0.20873594284057617,0.0,0.0,0.0,0.26118385791778564,-0.6123228073120117,-1.493448257446289,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36864.0,42720.0,39302.0,39218.0,0,0,0,0,39589.30859375,-1256.0,-3675.0,-1547.0
1.1,-0.016838813200592995,-0.02656577154994011,0.2148299664258957,0.0,0.0,0.0,0.5602465867996216,-0.13832204043865204,-1.497816801071167,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37789.0,43471.0,37371.0,38141.0,0,0,0,0,38772.9296875,-596.0,-7353.0,-1853.0
1.12,-0.012710976414382458,-0.0241063442081213,0.2240222543478012,0.0,0.0,0.0,0.7832269072532654,0.29124686121940613,-1.5022813081741333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36777.0,42741.0,36835.0,37347.0,0,0,0,0,38112.390625,-1792.0,-4118.0,-1877.0
1.14,-0.009501011110842228,-0.0217303354293108,0.23312470316886902,0.0,0.0,0.0,0.9705092906951904,0.7443472743034363,-1.5282477140426636,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36544.0,41996.0,35984.0,36680.0,0,0,0,0,37521.12109375,-2346.0,-4096.0,-1594.0
1.16,-0.00598358828574419,-0.01957271806895733,0.24239861965179443,0.0,0.0,0.0,1.1449342966079712,1.0583380460739136,-1.547714114189148,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34613.0,41261.0,36753.0,36433.0,0,0,0,0,37108.23046875,-840.0,-3612.0,-1683.0
1.18,-0.0032268078066408634,-0.017723068594932556,0.25187546014785767,0.0,0.0,0.0,1.3578842878341675,1.3974363803863525,-1.5484837293624878,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34315.0,41083.0,36451.0,35775.0,0,0,0,0,36743.18359375,-2273.0,-4043.0,-1684.0
1.2,-0.00024223909713327885,-0.01503846887499094,0.2610038220882416,0.0,0.0,0.0,1.4927136898040771,1.7517718076705933,-1.5654951333999634,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32958.0,42380.0,37000.0,33970.0,0,0,0,0,36434.74609375,-2747.0,-6846.0,-1699.0
1.221,0.003242342034354806,-0.013404656201601028,0.2704293131828308,0.0,0.0,0.0,1.5982778072357178,2.0579938888549805,-1.5764845609664917,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33620.0,40700.0,35486.0,34590.0,0,0,0,0,36013.9921875,-2788.0,-2895.0,-1567.0
1.24,0.00585158821195364,-0.01175558753311634,0.2809942364692688,0.0,0.0,0.0,1.6630966663360596,2.32423996925354,-1.583516001701355,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34288.0,39506.0,34602.0,35352.0,0,0,0,0,35873.1875,-1566.0,-3676.0,-1404.0
1.26,0.008741994388401508,-0.009708848781883717,0.29026830196380615,0.0,0.0,0.0,1.7148035764694214,2.3965976238250732,-1.583014726638794,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34363.0,40213.0,33867.0,34233.0,0,0,0,0,35646.01171875,-1597.0,-2880.0,-1535.0
